Index,State/Union Territory,District,Crop,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
4468,Gujarat,Kheda,Rice,2015,Total,104178,262650,2.521165697
4469,Gujarat,Kheda,Rice,2016,Kharif     ,102915,265985,2.58451149
4470,Gujarat,Kheda,Rice,2016,Summer     ,7699,25845,3.356929471
4471,Gujarat,Kheda,Rice,2016,Total,110614,291830,2.638273636
4472,Gujarat,Kheda,Rice,2017,Kharif     ,108375,279398,2.578066897
4473,Gujarat,Kheda,Rice,2017,Summer     ,6663,19276,2.892991145
4474,Gujarat,Kheda,Rice,2017,Total,115038,298674,2.596307307
4475,Gujarat,Kheda,Rice,2018,Kharif     ,112873,359556,3.185491659
4476,Gujarat,Kheda,Rice,2018,Summer     ,7647,24470,3.199947692
4477,Gujarat,Kheda,Rice,2018,Total,120520,384026,3.186408895
4478,Gujarat,Kheda,Rice,2019,Kharif     ,115129,309651,2.689600361
4479,Gujarat,Kheda,Rice,2019,Summer     ,13988,43606,3.117386331
4480,Gujarat,Kheda,Rice,2019,Total,129117,353257,2.735944918
4481,Gujarat,Mahesana,Rice,2010,Kharif     ,8200,17400,2.12195122
4482,Gujarat,Mahesana,Rice,2011,Kharif     ,5400,9700,1.796296296
4483,Gujarat,Mahesana,Rice,2012,Kharif     ,1400,3200,2.285714286
4484,Gujarat,Mahesana,Rice,2013,Kharif     ,4970,9973,2.006639839
4485,Gujarat,Mahesana,Rice,2014,Kharif     ,6815,18047,2.648129127
4486,Gujarat,Mahesana,Rice,2014,Summer     ,27,87,3.222222222
4487,Gujarat,Mahesana,Rice,2014,Total,6842,18134,2.650394622
4488,Gujarat,Mahesana,Rice,2015,Kharif     ,7095,17046,2.402536998
4489,Gujarat,Mahesana,Rice,2015,Summer     ,45,146,3.244444444
4490,Gujarat,Mahesana,Rice,2015,Total,7140,17192,2.407843137
4491,Gujarat,Mahesana,Rice,2016,Kharif     ,4638,10967,2.364596809
4492,Gujarat,Mahesana,Rice,2016,Summer     ,90,293,3.255555556
4493,Gujarat,Mahesana,Rice,2016,Total,4728,11260,2.381556684
4494,Gujarat,Mahesana,Rice,2017,Kharif     ,7043,16828,2.389322732
4495,Gujarat,Mahesana,Rice,2017,Summer     ,402,1071,2.664179105
4496,Gujarat,Mahesana,Rice,2017,Total,7445,17899,2.404163868
4497,Gujarat,Mahesana,Rice,2018,Kharif     ,3010,7371,2.448837209
4498,Gujarat,Mahesana,Rice,2018,Summer     ,80,0,0
4499,Gujarat,Mahesana,Rice,2018,Total,3090,7371,2.385436893
4500,Gujarat,Mahesana,Rice,2019,Kharif     ,4030,7853,1.948635236
4501,Gujarat,Mahesana,Rice,2019,Summer     ,170,501,2.947058824
4502,Gujarat,Mahesana,Rice,2019,Total,4200,8354,1.989047619
4503,Gujarat,Mahisagar,Rice,2014,Kharif     ,33784,50720,1.501302392
4504,Gujarat,Mahisagar,Rice,2014,Summer     ,10,32,3.2
4505,Gujarat,Mahisagar,Rice,2014,Total,33794,50752,1.501805054
4506,Gujarat,Mahisagar,Rice,2015,Kharif     ,27037,46810,1.731331139
4507,Gujarat,Mahisagar,Rice,2015,Summer     ,5,16,3.2
4508,Gujarat,Mahisagar,Rice,2015,Total,27042,46826,1.731602692
4509,Gujarat,Mahisagar,Rice,2016,Kharif     ,39907,64805,1.623900569
4510,Gujarat,Mahisagar,Rice,2016,Summer     ,98,319,3.255102041
4511,Gujarat,Mahisagar,Rice,2016,Total,40005,65124,1.627896513
4512,Gujarat,Mahisagar,Rice,2017,Kharif     ,38009,43874,1.154305559
4513,Gujarat,Mahisagar,Rice,2017,Summer     ,217,578,2.66359447
4514,Gujarat,Mahisagar,Rice,2017,Total,38226,44452,1.162873437
4515,Gujarat,Mahisagar,Rice,2018,Kharif     ,43300,62227,1.437113164
4516,Gujarat,Mahisagar,Rice,2018,Summer     ,427,939,2.199063232
4517,Gujarat,Mahisagar,Rice,2018,Total,43727,63166,1.444553708
4518,Gujarat,Mahisagar,Rice,2019,Kharif     ,38026,71910,1.891074528
4519,Gujarat,Mahisagar,Rice,2019,Summer     ,449,1324,2.948775056
4520,Gujarat,Mahisagar,Rice,2019,Total,38475,73234,1.903417804
4521,Gujarat,Narmada,Rice,2010,Kharif     ,12000,10500,0.875
4522,Gujarat,Narmada,Rice,2011,Kharif     ,17900,14700,0.82122905
4523,Gujarat,Narmada,Rice,2012,Kharif     ,11600,12800,1.103448276
4524,Gujarat,Narmada,Rice,2012,Summer     ,100,100,1
4525,Gujarat,Narmada,Rice,2012,Total,11700,12900,1.102564103
4526,Gujarat,Narmada,Rice,2013,Kharif     ,9933,8086,0.814054163
4527,Gujarat,Narmada,Rice,2013,Summer     ,27,86,3.185185185
4528,Gujarat,Narmada,Rice,2013,Total,9960,8172,0.820481928
4529,Gujarat,Narmada,Rice,2014,Kharif     ,10879,7954,0.731133376
4530,Gujarat,Narmada,Rice,2015,Kharif     ,11271,6743,0.598261024
4531,Gujarat,Narmada,Rice,2016,Kharif     ,13366,7162,0.535837199
4532,Gujarat,Narmada,Rice,2017,Kharif     ,10735,8449,0.7870517
4533,Gujarat,Narmada,Rice,2018,Kharif     ,10807,9232,0.854261127
4534,Gujarat,Narmada,Rice,2019,Kharif     ,12149,12134,0.99876533
4535,Gujarat,Navsari,Rice,2010,Kharif     ,62600,161300,2.576677316
4536,Gujarat,Navsari,Rice,2010,Summer     ,24900,75300,3.024096386
4537,Gujarat,Navsari,Rice,2010,Total,87500,236600,2.704
4538,Gujarat,Navsari,Rice,2011,Kharif     ,52200,133900,2.5651341
4539,Gujarat,Navsari,Rice,2011,Summer     ,27400,80700,2.945255475
4540,Gujarat,Navsari,Rice,2011,Total,79600,214600,2.6959799
4541,Gujarat,Navsari,Rice,2012,Kharif     ,51300,128200,2.499025341
4542,Gujarat,Navsari,Rice,2012,Summer     ,8300,26900,3.240963855
4543,Gujarat,Navsari,Rice,2012,Total,59600,155100,2.602348993
4544,Gujarat,Navsari,Rice,2013,Kharif     ,67443,162186,2.404786264
4545,Gujarat,Navsari,Rice,2013,Summer     ,11681,36986,3.166338498
4546,Gujarat,Navsari,Rice,2013,Total,79124,199172,2.517213488
4547,Gujarat,Navsari,Rice,2014,Kharif     ,58889,160724,2.729270322
4548,Gujarat,Navsari,Rice,2014,Summer     ,9091,29976,3.297327027
4549,Gujarat,Navsari,Rice,2014,Total,67980,190700,2.805236834
4550,Gujarat,Navsari,Rice,2015,Kharif     ,47811,116320,2.432912928
4551,Gujarat,Navsari,Rice,2015,Summer     ,7146,21649,3.029527008
4552,Gujarat,Navsari,Rice,2015,Total,54957,137969,2.51049002
4553,Gujarat,Navsari,Rice,2016,Kharif     ,53642,140476,2.618768875
4554,Gujarat,Navsari,Rice,2016,Summer     ,6599,19180,2.906500985
4555,Gujarat,Navsari,Rice,2016,Total,60241,159656,2.65028801
4556,Gujarat,Navsari,Rice,2017,Kharif     ,49352,121965,2.471328416
4557,Gujarat,Navsari,Rice,2017,Summer     ,643,1775,2.760497667
4558,Gujarat,Navsari,Rice,2017,Total,49995,123740,2.475047505
4559,Gujarat,Navsari,Rice,2018,Kharif     ,49339,131181,2.658768925
4560,Gujarat,Navsari,Rice,2018,Summer     ,773,2396,3.099611902
4561,Gujarat,Navsari,Rice,2018,Total,50112,133577,2.665569125
4562,Gujarat,Navsari,Rice,2019,Kharif     ,53094,140997,2.655610804
4563,Gujarat,Navsari,Rice,2019,Summer     ,7375,17054,2.31240678
4564,Gujarat,Navsari,Rice,2019,Total,60469,158051,2.613752501
4565,Gujarat,Panch Mahals,Rice,2010,Kharif     ,70400,59600,0.846590909
4566,Gujarat,Panch Mahals,Rice,2010,Summer     ,500,1400,2.8
4567,Gujarat,Panch Mahals,Rice,2010,Total,70900,61000,0.860366714
4568,Gujarat,Panch Mahals,Rice,2011,Kharif     ,78300,98200,1.254150702
4569,Gujarat,Panch Mahals,Rice,2011,Summer     ,800,2600,3.25
4570,Gujarat,Panch Mahals,Rice,2011,Total,79100,100800,1.274336283
4571,Gujarat,Panch Mahals,Rice,2012,Kharif     ,67300,118900,1.766716196
4572,Gujarat,Panch Mahals,Rice,2012,Summer     ,200,800,4
4573,Gujarat,Panch Mahals,Rice,2012,Total,67500,119700,1.773333333
4574,Gujarat,Panch Mahals,Rice,2013,Kharif     ,81053,122771,1.514700258
4575,Gujarat,Panch Mahals,Rice,2013,Summer     ,653,2082,3.188361409
4576,Gujarat,Panch Mahals,Rice,2013,Total,81706,124853,1.528076274
4577,Gujarat,Panch Mahals,Rice,2014,Kharif     ,40762,43965,1.078578087
4578,Gujarat,Panch Mahals,Rice,2014,Summer     ,105,337,3.20952381
4579,Gujarat,Panch Mahals,Rice,2014,Total,40867,44302,1.084053148
4580,Gujarat,Panch Mahals,Rice,2015,Kharif     ,44269,46262,1.045020217
4581,Gujarat,Panch Mahals,Rice,2015,Summer     ,20,65,3.25
4582,Gujarat,Panch Mahals,Rice,2015,Total,44289,46327,1.046015941
4583,Gujarat,Panch Mahals,Rice,2016,Kharif     ,54247,52377,0.965528048
4584,Gujarat,Panch Mahals,Rice,2016,Summer     ,662,2153,3.252265861
4585,Gujarat,Panch Mahals,Rice,2016,Total,54909,54530,0.993097671
4586,Gujarat,Panch Mahals,Rice,2017,Kharif     ,47036,46578,0.990262777
4587,Gujarat,Panch Mahals,Rice,2017,Summer     ,1613,4298,2.664600124
4588,Gujarat,Panch Mahals,Rice,2017,Total,48649,50876,1.045776892
4589,Gujarat,Panch Mahals,Rice,2018,Kharif     ,53219,57636,1.082996674
4590,Gujarat,Panch Mahals,Rice,2018,Summer     ,3213,5938,1.848117025
4591,Gujarat,Panch Mahals,Rice,2018,Total,56432,63574,1.126559399
4592,Gujarat,Panch Mahals,Rice,2019,Kharif     ,55572,97740,1.758799395
4593,Gujarat,Panch Mahals,Rice,2019,Summer     ,2830,5320,1.879858657
4594,Gujarat,Panch Mahals,Rice,2019,Total,58402,103060,1.764665594
4595,Gujarat,Patan,Rice,2017,Summer     ,520,1386,2.665384615
4596,Gujarat,Sabar Kantha,Rice,2010,Kharif     ,5600,12000,2.142857143
4597,Gujarat,Sabar Kantha,Rice,2011,Kharif     ,6700,15900,2.373134328
4598,Gujarat,Sabar Kantha,Rice,2012,Kharif     ,3700,8200,2.216216216
4599,Gujarat,Sabar Kantha,Rice,2013,Kharif     ,1680,3557,2.117261905
4600,Gujarat,Sabar Kantha,Rice,2014,Kharif     ,3975,9557,2.40427673
4601,Gujarat,Sabar Kantha,Rice,2015,Kharif     ,3625,11386,3.140965517
4602,Gujarat,Sabar Kantha,Rice,2016,Kharif     ,6185,17637,2.851576395
4603,Gujarat,Sabar Kantha,Rice,2017,Kharif     ,7454,26945,3.614837671
4604,Gujarat,Sabar Kantha,Rice,2018,Kharif     ,7089,24177,3.410495133
4605,Gujarat,Sabar Kantha,Rice,2019,Kharif     ,6964,18209,2.614732912
4606,Gujarat,Surat,Rice,2010,Kharif     ,60700,124000,2.042833608
4607,Gujarat,Surat,Rice,2010,Summer     ,18900,56500,2.989417989
4608,Gujarat,Surat,Rice,2010,Total,79600,180500,2.26758794
4609,Gujarat,Surat,Rice,2011,Kharif     ,52300,126800,2.424474187
4610,Gujarat,Surat,Rice,2011,Summer     ,19000,64000,3.368421053
4611,Gujarat,Surat,Rice,2011,Total,71300,190800,2.67601683
4612,Gujarat,Surat,Rice,2012,Kharif     ,39700,84100,2.118387909
4613,Gujarat,Surat,Rice,2012,Summer     ,8900,26900,3.02247191
4614,Gujarat,Surat,Rice,2012,Total,48600,111000,2.283950617
4615,Gujarat,Surat,Rice,2013,Kharif     ,45902,93241,2.031305826
4616,Gujarat,Surat,Rice,2013,Summer     ,7609,26194,3.4425023
4617,Gujarat,Surat,Rice,2013,Total,53511,119435,2.231970997
4618,Gujarat,Surat,Rice,2014,Kharif     ,39547,86189,2.179406782
4619,Gujarat,Surat,Rice,2014,Summer     ,5634,16439,2.917820376
4620,Gujarat,Surat,Rice,2014,Total,45181,102628,2.271485802
4621,Gujarat,Surat,Rice,2015,Kharif     ,41496,89331,2.152761712
4622,Gujarat,Surat,Rice,2015,Summer     ,6265,19481,3.109497207
4623,Gujarat,Surat,Rice,2015,Total,47761,108812,2.278260505
4624,Gujarat,Surat,Rice,2016,Kharif     ,37998,92816,2.442654877
4625,Gujarat,Surat,Rice,2016,Summer     ,6471,19167,2.961984237
4626,Gujarat,Surat,Rice,2016,Total,44469,111983,2.51822618
4627,Gujarat,Surat,Rice,2017,Kharif     ,46513,123420,2.653451723
4628,Gujarat,Surat,Rice,2017,Summer     ,3939,9711,2.465346535
4629,Gujarat,Surat,Rice,2017,Total,50452,133131,2.638765559
4630,Gujarat,Surat,Rice,2018,Kharif     ,44471,108874,2.448202199
4631,Gujarat,Surat,Rice,2018,Summer     ,2277,7285,3.199385156
4632,Gujarat,Surat,Rice,2018,Total,46748,116159,2.484790793
4633,Gujarat,Surat,Rice,2019,Kharif     ,41521,97980,2.359769755
4634,Gujarat,Surat,Rice,2019,Summer     ,3742,10948,2.925708177
4635,Gujarat,Surat,Rice,2019,Total,45263,108928,2.406557232
4636,Gujarat,Surendranagar,Rice,2011,Kharif     ,500,1200,2.4
4637,Gujarat,Surendranagar,Rice,2012,Kharif     ,200,400,2
4638,Gujarat,Surendranagar,Rice,2013,Kharif     ,226,358,1.584070797
4639,Gujarat,Surendranagar,Rice,2015,Kharif     ,663,1656,2.497737557
4640,Gujarat,Surendranagar,Rice,2016,Kharif     ,372,966,2.596774194
4641,Gujarat,Surendranagar,Rice,2017,Kharif     ,848,1572,1.853773585
4642,Gujarat,Surendranagar,Rice,2018,Kharif     ,4140,6496,1.569082126
4643,Gujarat,Surendranagar,Rice,2019,Kharif     ,2630,3352,1.274524715
4644,Gujarat,Tapi,Rice,2010,Kharif     ,35400,71900,2.031073446
4645,Gujarat,Tapi,Rice,2010,Summer     ,2600,7900,3.038461539
4646,Gujarat,Tapi,Rice,2010,Total,38000,79800,2.1
4647,Gujarat,Tapi,Rice,2011,Kharif     ,47300,99300,2.099365751
4648,Gujarat,Tapi,Rice,2011,Summer     ,2600,8300,3.192307692
4649,Gujarat,Tapi,Rice,2011,Total,49900,107600,2.156312625
4650,Gujarat,Tapi,Rice,2012,Kharif     ,45800,119400,2.6069869
4651,Gujarat,Tapi,Rice,2012,Summer     ,900,2900,3.222222222
4652,Gujarat,Tapi,Rice,2012,Total,46700,122300,2.618843683
4653,Gujarat,Tapi,Rice,2013,Kharif     ,55694,145132,2.605882142
4654,Gujarat,Tapi,Rice,2013,Summer     ,1349,4300,3.187546331
4655,Gujarat,Tapi,Rice,2013,Total,57043,149432,2.619637817
4656,Gujarat,Tapi,Rice,2014,Kharif     ,54475,135521,2.48776503
4657,Gujarat,Tapi,Rice,2014,Summer     ,1021,3277,3.209598433
4658,Gujarat,Tapi,Rice,2014,Total,55496,138798,2.50104512
4659,Gujarat,Tapi,Rice,2015,Kharif     ,54135,111141,2.053034082
4660,Gujarat,Tapi,Rice,2015,Summer     ,2235,7251,3.244295302
4661,Gujarat,Tapi,Rice,2015,Total,56370,118392,2.100266099
4662,Gujarat,Tapi,Rice,2016,Kharif     ,54822,144588,2.63740834
4663,Gujarat,Tapi,Rice,2016,Summer     ,2235,7269,3.252348993
4664,Gujarat,Tapi,Rice,2016,Total,57057,151857,2.661496398
4665,Gujarat,Tapi,Rice,2017,Kharif     ,53483,135851,2.540078156
4666,Gujarat,Tapi,Rice,2017,Summer     ,1856,4945,2.664331897
4667,Gujarat,Tapi,Rice,2017,Total,55339,140796,2.544245469
4668,Gujarat,Tapi,Rice,2018,Kharif     ,52371,167686,3.20188654
4669,Gujarat,Tapi,Rice,2018,Summer     ,1864,5776,3.098712446
4670,Gujarat,Tapi,Rice,2018,Total,54235,173462,3.198340555
4671,Gujarat,Tapi,Rice,2019,Kharif     ,65160,187507,2.877639656
4672,Gujarat,Tapi,Rice,2019,Summer     ,1608,4915,3.05659204
4673,Gujarat,Tapi,Rice,2019,Total,66768,192422,2.881949437
4674,Gujarat,Vadodara,Rice,2010,Kharif     ,55100,68100,1.235934664
4675,Gujarat,Vadodara,Rice,2011,Kharif     ,44400,55300,1.245495496
4676,Gujarat,Vadodara,Rice,2012,Kharif     ,44600,63200,1.417040359
4677,Gujarat,Vadodara,Rice,2013,Kharif     ,38066,50700,1.331897231
4678,Gujarat,Vadodara,Rice,2014,Kharif     ,23137,40875,1.766650819
4679,Gujarat,Vadodara,Rice,2015,Kharif     ,24705,42862,1.734952439
4680,Gujarat,Vadodara,Rice,2016,Kharif     ,23405,50549,2.15975219
4681,Gujarat,Vadodara,Rice,2016,Summer     ,560,1821,3.251785714
4682,Gujarat,Vadodara,Rice,2016,Total,23965,52370,2.185270186
4683,Gujarat,Vadodara,Rice,2017,Kharif     ,22730,47527,2.090937088
4684,Gujarat,Vadodara,Rice,2017,Summer     ,397,1058,2.664987406
4685,Gujarat,Vadodara,Rice,2017,Total,23127,48585,2.100791283
4686,Gujarat,Vadodara,Rice,2018,Kharif     ,33486,72498,2.165024189
4687,Gujarat,Vadodara,Rice,2018,Summer     ,1212,3941,3.251650165
4688,Gujarat,Vadodara,Rice,2018,Total,34698,76439,2.202979999
4689,Gujarat,Vadodara,Rice,2019,Kharif     ,31302,63187,2.018625008
4690,Gujarat,Vadodara,Rice,2019,Summer     ,1353,3991,2.949741316
4691,Gujarat,Vadodara,Rice,2019,Total,32655,67178,2.057204104
4692,Gujarat,Valsad,Rice,2010,Kharif     ,58600,118200,2.017064846
4693,Gujarat,Valsad,Rice,2010,Summer     ,9500,28800,3.031578947
4694,Gujarat,Valsad,Rice,2010,Total,68100,147000,2.158590308
4695,Gujarat,Valsad,Rice,2011,Kharif     ,67300,145100,2.156017831
4696,Gujarat,Valsad,Rice,2011,Summer     ,2700,8700,3.222222222
4697,Gujarat,Valsad,Rice,2011,Total,70000,153800,2.197142857
4698,Gujarat,Valsad,Rice,2012,Kharif     ,63800,143900,2.255485893
4699,Gujarat,Valsad,Rice,2012,Summer     ,600,1700,2.833333333
4700,Gujarat,Valsad,Rice,2012,Total,64400,145600,2.260869565
4701,Gujarat,Valsad,Rice,2013,Kharif     ,70104,146890,2.095315531
4702,Gujarat,Valsad,Rice,2013,Summer     ,1125,2653,2.358222222
4703,Gujarat,Valsad,Rice,2013,Total,71229,149543,2.099467913
4704,Gujarat,Valsad,Rice,2014,Kharif     ,70161,144732,2.062855433
4705,Gujarat,Valsad,Rice,2014,Summer     ,1092,3090,2.82967033
4706,Gujarat,Valsad,Rice,2014,Total,71253,147822,2.074607385
4707,Gujarat,Valsad,Rice,2015,Kharif     ,62478,151063,2.417859086
4708,Gujarat,Valsad,Rice,2015,Summer     ,1539,4993,3.24431449
4709,Gujarat,Valsad,Rice,2015,Total,64017,156056,2.437727479
4710,Gujarat,Valsad,Rice,2016,Kharif     ,81087,218915,2.699754585
4711,Gujarat,Valsad,Rice,2016,Summer     ,984,3200,3.25203252
4712,Gujarat,Valsad,Rice,2016,Total,82071,222115,2.706376187
4713,Gujarat,Valsad,Rice,2017,Kharif     ,70665,181192,2.56409821
4714,Gujarat,Valsad,Rice,2017,Summer     ,989,2452,2.479271992
4715,Gujarat,Valsad,Rice,2017,Total,71654,183644,2.562927401
4716,Gujarat,Valsad,Rice,2018,Kharif     ,73468,181999,2.477255404
4717,Gujarat,Valsad,Rice,2018,Summer     ,946,2952,3.1205074
4718,Gujarat,Valsad,Rice,2018,Total,74414,184951,2.485432849
4719,Gujarat,Valsad,Rice,2019,Kharif     ,72850,169067,2.320754976
4720,Gujarat,Valsad,Rice,2019,Summer     ,897,2780,3.099219621
4721,Gujarat,Ahmadabad,Wheat,2010,Rabi       ,230400,547600,2.376736111
4722,Gujarat,Ahmadabad,Wheat,2011,Rabi       ,189800,473900,2.496838778
4723,Gujarat,Ahmadabad,Wheat,2012,Rabi       ,178800,451100,2.522930649
4724,Gujarat,Ahmadabad,Wheat,2013,Rabi       ,170692,389532,2.282075317
4725,Gujarat,Ahmadabad,Wheat,2014,Rabi       ,187637,365854,1.949796682
4726,Gujarat,Ahmadabad,Wheat,2015,Rabi       ,114178,274549,2.404570057
4727,Gujarat,Ahmadabad,Wheat,2016,Rabi       ,145858,327496,2.24530708
4728,Gujarat,Ahmadabad,Wheat,2017,Rabi       ,149384,322047,2.155833289
4729,Gujarat,Ahmadabad,Wheat,2018,Rabi       ,108703,279010,2.56671849
4730,Gujarat,Ahmadabad,Wheat,2019,Rabi       ,156379,420609,2.689677003
4731,Gujarat,Amreli,Wheat,2010,Rabi       ,55000,208200,3.785454546
4732,Gujarat,Amreli,Wheat,2011,Rabi       ,32300,116100,3.594427245
4733,Gujarat,Amreli,Wheat,2012,Rabi       ,5400,15400,2.851851852
4734,Gujarat,Amreli,Wheat,2013,Rabi       ,17955,70545,3.92898914
4735,Gujarat,Amreli,Wheat,2014,Rabi       ,4320,14458,3.346759259
4736,Gujarat,Amreli,Wheat,2015,Rabi       ,7311,22734,3.109560936
4737,Gujarat,Amreli,Wheat,2016,Rabi       ,12395,42315,3.413876563
4738,Gujarat,Amreli,Wheat,2017,Rabi       ,8041,30899,3.842681259
4739,Gujarat,Amreli,Wheat,2018,Rabi       ,5392,18067,3.350704748
4740,Gujarat,Amreli,Wheat,2019,Rabi       ,23655,95742,4.047431833
4741,Gujarat,Anand,Wheat,2010,Rabi       ,58800,156100,2.654761905
4742,Gujarat,Anand,Wheat,2011,Rabi       ,67400,172400,2.557863502
4743,Gujarat,Anand,Wheat,2012,Rabi       ,63400,178900,2.821766562
4744,Gujarat,Anand,Wheat,2013,Rabi       ,70156,182539,2.601901477
4745,Gujarat,Anand,Wheat,2014,Rabi       ,65105,184970,2.841102834
4746,Gujarat,Anand,Wheat,2015,Rabi       ,59574,181188,3.041393897
4747,Gujarat,Anand,Wheat,2016,Rabi       ,57847,184431,3.188255225
4748,Gujarat,Anand,Wheat,2017,Rabi       ,59050,178255,3.018712955
4749,Gujarat,Anand,Wheat,2018,Rabi       ,57805,177451,3.06982095
4750,Gujarat,Anand,Wheat,2019,Rabi       ,61065,189576,3.10449521
4751,Gujarat,Aravalli,Wheat,2014,Rabi       ,66200,147679,2.230800604
4752,Gujarat,Aravalli,Wheat,2015,Rabi       ,64200,142755,2.223598131
4753,Gujarat,Aravalli,Wheat,2016,Rabi       ,64450,153547,2.382420481
4754,Gujarat,Aravalli,Wheat,2017,Rabi       ,65250,158392,2.427463602
4755,Gujarat,Aravalli,Wheat,2018,Rabi       ,50889,141077,2.772249406
4756,Gujarat,Aravalli,Wheat,2019,Rabi       ,78409,232780,2.968791848
4757,Gujarat,Banas Kantha,Wheat,2010,Rabi       ,92900,280200,3.016146394
4758,Gujarat,Banas Kantha,Wheat,2011,Rabi       ,89000,242100,2.720224719
4759,Gujarat,Banas Kantha,Wheat,2012,Rabi       ,92900,270800,2.914962325
4760,Gujarat,Banas Kantha,Wheat,2013,Rabi       ,93158,290342,3.116662015
4761,Gujarat,Banas Kantha,Wheat,2014,Rabi       ,88025,272842,3.099596706
4762,Gujarat,Banas Kantha,Wheat,2015,Rabi       ,81480,240790,2.955203731
4763,Gujarat,Banas Kantha,Wheat,2016,Rabi       ,75857,226485,2.985683589
4764,Gujarat,Banas Kantha,Wheat,2017,Rabi       ,73975,224222,3.031051031
4765,Gujarat,Banas Kantha,Wheat,2018,Rabi       ,52564,162737,3.095978236
4766,Gujarat,Banas Kantha,Wheat,2019,Rabi       ,70997,222639,3.135893066
4767,Gujarat,Bharuch,Wheat,2010,Rabi       ,16800,33700,2.005952381
4768,Gujarat,Bharuch,Wheat,2011,Rabi       ,22000,45800,2.081818182
4769,Gujarat,Bharuch,Wheat,2012,Rabi       ,23500,44100,1.876595745
4770,Gujarat,Bharuch,Wheat,2013,Rabi       ,21300,35739,1.677887324
4771,Gujarat,Bharuch,Wheat,2014,Rabi       ,29300,47313,1.614778157
4772,Gujarat,Bharuch,Wheat,2015,Rabi       ,22825,40400,1.769989047
4773,Gujarat,Bharuch,Wheat,2016,Rabi       ,21430,30332,1.415398973
4774,Gujarat,Bharuch,Wheat,2017,Rabi       ,18560,35336,1.90387931
4775,Gujarat,Bharuch,Wheat,2018,Rabi       ,10300,19753,1.91776699
4776,Gujarat,Bharuch,Wheat,2019,Rabi       ,20650,41133,1.991912833
4777,Gujarat,Bhavnagar,Wheat,2010,Rabi       ,31700,92900,2.930599369
4778,Gujarat,Bhavnagar,Wheat,2011,Rabi       ,9700,28700,2.958762887
4779,Gujarat,Bhavnagar,Wheat,2012,Rabi       ,2400,7900,3.291666667
4780,Gujarat,Bhavnagar,Wheat,2013,Rabi       ,27437,95981,3.498232314
4781,Gujarat,Bhavnagar,Wheat,2014,Rabi       ,5494,15786,2.873316345
4782,Gujarat,Bhavnagar,Wheat,2015,Rabi       ,7155,22613,3.16044724
4783,Gujarat,Bhavnagar,Wheat,2016,Rabi       ,10684,34392,3.219019094
4784,Gujarat,Bhavnagar,Wheat,2017,Rabi       ,13878,44961,3.23973195
4785,Gujarat,Bhavnagar,Wheat,2018,Rabi       ,5569,17346,3.114742324
4786,Gujarat,Bhavnagar,Wheat,2019,Rabi       ,19898,65832,3.308473213
4787,Gujarat,Botad,Wheat,2014,Rabi       ,7155,11826,1.652830189
4788,Gujarat,Botad,Wheat,2015,Rabi       ,7715,18530,2.401814647
4789,Gujarat,Botad,Wheat,2016,Rabi       ,6870,17728,2.580494905
4790,Gujarat,Botad,Wheat,2017,Rabi       ,7673,23263,3.031799818
4791,Gujarat,Botad,Wheat,2018,Rabi       ,3411,12168,3.567282322
4792,Gujarat,Botad,Wheat,2019,Rabi       ,13245,51432,3.883125708
4793,Gujarat,Chhotaudepur,Wheat,2014,Rabi       ,661,2102,3.180030257
4794,Gujarat,Chhotaudepur,Wheat,2015,Rabi       ,655,2335,3.564885496
4795,Gujarat,Chhotaudepur,Wheat,2016,Rabi       ,565,1867,3.304424779
4796,Gujarat,Chhotaudepur,Wheat,2017,Rabi       ,494,1521,3.078947368
4797,Gujarat,Chhotaudepur,Wheat,2018,Rabi       ,401,1392,3.471321696
4798,Gujarat,Chhotaudepur,Wheat,2019,Rabi       ,1258,3933,3.126391097
4799,Gujarat,Dang,Wheat,2010,Rabi       ,2400,8100,3.375
4800,Gujarat,Dang,Wheat,2011,Rabi       ,4400,13900,3.159090909
4801,Gujarat,Dang,Wheat,2012,Rabi       ,3800,11300,2.973684211
4802,Gujarat,Dang,Wheat,2013,Rabi       ,2637,8686,3.293894577
4803,Gujarat,Dang,Wheat,2014,Rabi       ,2556,3995,1.562989045
4804,Gujarat,Dang,Wheat,2015,Rabi       ,2507,3713,1.481053052
4805,Gujarat,Dang,Wheat,2016,Rabi       ,2155,3203,1.486310905
4806,Gujarat,Dang,Wheat,2017,Rabi       ,2262,1808,0.799292661
4807,Gujarat,Dang,Wheat,2018,Rabi       ,175,270,1.542857143
4808,Gujarat,Dang,Wheat,2019,Rabi       ,255,281,1.101960784
4809,Gujarat,Devbhumi Dwarka,Wheat,2014,Rabi       ,2368,9736,4.111486487
4810,Gujarat,Devbhumi Dwarka,Wheat,2015,Rabi       ,320,854,2.66875
4811,Gujarat,Devbhumi Dwarka,Wheat,2016,Rabi       ,527,1579,2.996204934
4812,Gujarat,Devbhumi Dwarka,Wheat,2017,Rabi       ,3056,10745,3.516034031
4813,Gujarat,Devbhumi Dwarka,Wheat,2018,Rabi       ,114,386,3.385964912
4814,Gujarat,Devbhumi Dwarka,Wheat,2019,Rabi       ,14882,64126,4.308963849
4815,Gujarat,Dohad,Wheat,2010,Rabi       ,33300,65800,1.975975976
4816,Gujarat,Dohad,Wheat,2011,Rabi       ,36900,87800,2.379403794
